# Catalog from Duputel et al. (GRL, 2019, doi: 10.1029/2018GL080895)
# Origin time             Lat(deg)     Lon(deg)    Dep(km)
2014-06-14 00:18:04.870  -21.240983    55.712447   -0.214
2014-06-14 00:33:52.352  -21.245089    55.715560   -0.341
2014-06-14 00:39:13.827  -21.245266    55.714905   -0.316
2014-06-14 00:48:52.584  -21.245182    55.715076   -0.371
2014-06-14 01:00:51.885  -21.238782    55.711922   -0.274
2014-06-14 01:01:17.408  -21.243842    55.716984   -0.324
2014-06-14 01:06:38.362  -21.244971    55.715951   -0.500
2014-06-14 01:06:49.002  -21.243589    55.716390   -0.655
2014-06-14 01:06:49.116  -21.240348    55.712280   -0.432
2014-06-14 01:11:52.355  -21.240700    55.711133   -0.207
2014-06-14 01:22:32.428  -21.243170    55.716964   -0.484
2014-06-14 01:26:20.187  -21.241974    55.716439   -0.463
2014-06-14 01:36:01.290  -21.245068    55.715930   -0.489
2014-06-14 01:40:50.283  -21.244775    55.716890   -0.217
2014-06-14 01:41:46.416  -21.242468    55.715702   -0.485
2014-06-14 01:43:29.243  -21.245064    55.715381   -0.418
2014-06-14 01:47:56.378  -21.245249    55.715194   -0.374
2014-06-14 01:53:29.772  -21.245268    55.712480   -0.373
2014-06-14 02:30:51.946  -21.245268    55.711462   -0.110
2014-06-14 02:50:02.367  -21.244881    55.715027   -0.349
2014-06-14 03:16:59.306  -21.245182    55.711487   -0.089
2014-06-14 03:27:19.852  -21.245302    55.715230   -0.351
2014-06-14 03:37:24.390  -21.243709    55.713639    0.431
2014-06-14 03:40:04.185  -21.244344    55.714925   -0.332
2014-06-14 04:33:13.481  -21.241174    55.713733   -0.498
2014-06-14 04:33:28.658  -21.245138    55.715076   -0.439
2014-06-14 04:39:56.967  -21.245083    55.714526   -0.260
2014-06-14 05:11:51.222  -21.244855    55.712000   -0.133
2014-06-14 05:32:04.776  -21.241370    55.711788   -0.116
2014-06-14 05:38:25.419  -21.240942    55.711235   -0.232
2014-06-14 05:56:56.431  -21.241191    55.714156   -0.367
2014-06-14 06:10:57.500  -21.244979    55.716569   -0.364
2014-06-14 07:08:45.038  -21.239459    55.713249   -0.158
2014-06-14 07:21:55.373  -21.243833    55.713977    0.437
2014-06-14 07:53:20.503  -21.244940    55.714616   -0.289
2014-06-14 08:18:22.734  -21.245152    55.716089   -0.389
2014-06-14 08:18:40.762  -21.245217    55.716036   -0.422
2014-06-14 08:19:18.665  -21.245129    55.716060   -0.397
2014-06-14 08:33:41.684  -21.245044    55.714575   -0.269
2014-06-14 08:51:38.281  -21.245064    55.716117   -0.358
2014-06-14 09:00:40.571  -21.245115    55.712980   -0.268
2014-06-14 09:06:47.839  -21.243663    55.709867   -0.114
2014-06-14 09:18:48.538  -21.242908    55.711462   -0.359
2014-06-14 09:20:23.224  -21.245007    55.711576   -0.162
2014-06-14 09:24:30.385  -21.245221    55.712484   -0.191
2014-06-14 09:26:12.825  -21.240501    55.712980   -0.520
2014-06-14 09:50:11.018  -21.244802    55.711279   -0.143
2014-06-14 10:11:45.047  -21.240712    55.711389   -0.237
2014-06-14 10:26:52.443  -21.240686    55.711365   -0.227
2014-06-14 10:28:39.549  -21.245194    55.714364   -0.381
2014-06-14 10:37:49.766  -21.245693    55.713106   -0.273
2014-06-14 10:52:15.761  -21.240826    55.712773   -0.184
2014-06-14 10:54:36.190  -21.243856    55.711841   -0.377
2014-06-14 11:04:55.860  -21.245734    55.716711    0.061
2014-06-14 11:24:39.184  -21.244916    55.716720   -0.336
2014-06-14 11:27:06.688  -21.239530    55.712944   -0.169
2014-06-14 11:52:30.418  -21.240015    55.714067   -0.503
2014-06-14 11:58:56.045  -21.245003    55.715922   -0.495
2014-06-14 12:03:49.596  -21.245398    55.713904   -0.108
2014-06-14 12:07:51.267  -21.240299    55.712337   -0.339
2014-06-14 12:15:37.750  -21.241754    55.713139   -0.387
2014-06-14 12:16:11.759  -21.245146    55.715800   -0.391
2014-06-14 12:16:26.491  -21.244997    55.715910   -0.479
2014-06-14 12:28:29.823  -21.241921    55.713997   -0.446
2014-06-14 12:33:39.082  -21.244668    55.716040   -0.515
2014-06-14 12:45:55.161  -21.244938    55.711943   -0.121
2014-06-14 12:46:01.530  -21.245186    55.716052   -0.379
2014-06-14 12:48:31.657  -21.243921    55.711995   -0.428
2014-06-14 12:52:25.873  -21.243648    55.713363    0.417
2014-06-14 13:04:03.793  -21.245355    55.711617   -0.056
2014-06-14 13:10:56.178  -21.241500    55.715946   -0.405
2014-06-14 13:19:37.487  -21.244668    55.714974   -0.261
2014-06-14 13:23:17.641  -21.245150    55.715881   -0.385
2014-06-14 13:30:52.329  -21.241618    55.711731   -0.066
2014-06-14 13:31:17.124  -21.240688    55.711385   -0.245
2014-06-14 13:31:26.275  -21.243601    55.709957   -0.079
2014-06-14 13:31:36.063  -21.239486    55.713668   -0.431
2014-06-14 13:35:58.828  -21.241992    55.714278   -0.418
2014-06-14 13:45:41.389  -21.244899    55.711833   -0.187
2014-06-14 13:48:11.245  -21.241744    55.711853   -0.073
2014-06-14 13:49:21.960  -21.245032    55.715910   -0.517
2014-06-14 13:50:00.629  -21.244826    55.711926   -0.289
2014-06-14 13:58:12.711  -21.240666    55.711576   -0.272
2014-06-14 13:58:26.117  -21.243951    55.717114   -0.352
2014-06-14 14:21:46.084  -21.244950    55.714872   -0.294
2014-06-14 14:33:31.755  -21.245243    55.710714    0.086
2014-06-14 14:35:54.759  -21.245034    55.715055   -0.345
2014-06-14 14:36:12.274  -21.245951    55.717025    0.164
2014-06-14 14:57:55.107  -21.244712    55.711678   -0.143
2014-06-14 14:58:17.518  -21.245321    55.716992   -0.272
2014-06-14 15:01:00.476  -21.245546    55.714889   -0.251
2014-06-14 15:09:29.274  -21.245144    55.712919   -0.210
2014-06-14 15:12:27.309  -21.240702    55.711422   -0.158
2014-06-14 15:35:41.553  -21.245105    55.711764   -0.096
2014-06-14 15:39:03.507  -21.244958    55.715906   -0.504
2014-06-14 16:07:43.164  -21.240674    55.711332   -0.216
2014-06-14 16:09:11.615  -21.244981    55.715889   -0.481
2014-06-14 16:11:31.692  -21.243573    55.713562    0.348
2014-06-14 16:12:00.145  -21.240590    55.711401   -0.222
2014-06-14 16:12:38.565  -21.245262    55.711731   -0.044
2014-06-14 16:21:35.548  -21.243762    55.711784   -0.427
2014-06-14 16:25:11.224  -21.240680    55.712313   -0.287
2014-06-14 16:29:29.538  -21.240590    55.711414   -0.209
2014-06-14 16:43:52.570  -21.245162    55.716032   -0.385
2014-06-14 16:45:22.334  -21.245164    55.716036   -0.400
2014-06-14 16:48:20.991  -21.245125    55.716064   -0.404
2014-06-14 16:57:28.513  -21.244904    55.712174   -0.185
2014-06-14 17:01:49.241  -21.245262    55.717826   -0.117
2014-06-14 17:07:48.600  -21.245007    55.716496   -0.300
2014-06-14 17:08:29.175  -21.245241    55.712028   -0.172
2014-06-14 17:11:52.526  -21.245087    55.713310   -0.187
2014-06-14 17:27:37.704  -21.245009    55.716300   -0.548
2014-06-14 17:28:36.356  -21.244877    55.716235   -0.516
2014-06-14 17:50:42.886  -21.243968    55.716911   -0.349
2014-06-14 17:55:02.019  -21.244826    55.711816   -0.089
2014-06-14 17:57:33.133  -21.245020    55.715934   -0.491
2014-06-14 18:02:05.473  -21.241209    55.713135   -0.332
2014-06-14 18:09:09.132  -21.243040    55.713574    0.331
2014-06-14 18:10:44.060  -21.241231    55.713700   -0.509
2014-06-14 18:28:56.639  -21.241069    55.713228   -0.294
2014-06-14 18:53:59.589  -21.243681    55.713652    0.435
2014-06-14 19:04:52.865  -21.241866    55.711816   -0.209
2014-06-14 19:17:08.820  -21.245119    55.716028   -0.398
2014-06-14 19:18:34.247  -21.241777    55.716317   -0.576
2014-06-14 19:39:12.899  -21.245089    55.711702   -0.036
2014-06-14 19:44:50.497  -21.240369    55.712109   -0.585
2014-06-14 19:47:59.965  -21.240861    55.711393   -0.240
2014-06-14 19:53:05.749  -21.244979    55.715910   -0.499
2014-06-14 19:57:12.335  -21.244391    55.716044   -0.522
2014-06-14 20:33:26.051  -21.241673    55.716931   -0.373
2014-06-14 20:36:36.678  -21.240908    55.714465   -0.167
2014-06-14 20:38:54.099  -21.240987    55.713411   -0.137
2014-06-14 20:40:01.773  -21.246161    55.717350    0.149
2014-06-14 20:53:31.102  -21.245138    55.716040   -0.372
2014-06-14 20:55:45.491  -21.244865    55.716838   -0.328
2014-06-14 21:02:25.135  -21.245048    55.711723   -0.141
2014-06-14 21:10:30.378  -21.245176    55.714795   -0.374
2014-06-14 21:12:10.277  -21.245129    55.716064   -0.397
2014-06-14 21:22:30.449  -21.239697    55.713574   -0.464
2014-06-14 21:23:19.547  -21.243551    55.713420    0.412
2014-06-14 21:25:09.160  -21.241661    55.711820   -0.285
2014-06-14 21:28:43.683  -21.245339    55.712130   -0.179
2014-06-14 21:42:06.178  -21.240251    55.713167   -0.438
2014-06-14 21:48:08.437  -21.245176    55.715841   -0.389
2014-06-14 21:52:33.294  -21.245005    55.715068   -0.367
2014-06-14 21:54:06.042  -21.241947    55.716447   -0.476
2014-06-14 21:58:56.325  -21.245288    55.712805   -0.138
2014-06-14 21:59:05.451  -21.244757    55.714844   -0.353
2014-06-14 22:30:29.690  -21.244948    55.716044   -0.387
2014-06-14 22:51:38.334  -21.245437    55.712215   -0.224
2014-06-14 23:02:15.629  -21.244999    55.712728   -0.216
2014-06-14 23:23:38.454  -21.241359    55.714417   -0.380
2014-06-14 23:26:45.675  -21.245675    55.716252   -0.084
2014-06-14 23:32:19.137  -21.243986    55.717293   -0.373
2014-06-14 23:36:33.139  -21.245101    55.716048   -0.396
2014-06-14 23:39:01.510  -21.243846    55.717033   -0.363
2014-06-14 23:42:19.528  -21.241359    55.714742   -0.371
2014-06-14 23:51:51.679  -21.244948    55.715841   -0.508
2014-06-14 23:52:21.285  -21.245056    55.715959   -0.512
2014-06-14 23:52:56.311  -21.245125    55.715959   -0.413
2014-06-14 23:53:21.355  -21.245178    55.716060   -0.337
2014-06-14 23:53:28.990  -21.245038    55.716219   -0.477
2014-06-14 23:53:33.824  -21.245176    55.715999   -0.489
2014-06-14 23:54:14.454  -21.244977    55.715885   -0.481
2014-06-14 23:54:21.344  -21.245009    55.715849   -0.467
2014-06-14 23:54:56.798  -21.245160    55.716109   -0.369
2014-06-14 23:58:08.443  -21.243671    55.709896   -0.146
2014-06-15 00:01:07.256  -21.245614    55.711104    0.123
2014-06-15 00:21:04.652  -21.245087    55.715975   -0.372
2014-06-15 00:27:46.482  -21.244965    55.715926   -0.503
2014-06-15 00:31:58.799  -21.244991    55.711572   -0.140
2014-06-15 00:37:43.374  -21.245017    55.716349   -0.433
2014-06-15 00:49:23.366  -21.241984    55.713627   -0.386
2014-06-15 00:52:47.168  -21.240975    55.713472   -0.226
2014-06-15 01:01:16.684  -21.245433    55.714164   -0.227
2014-06-15 01:09:33.997  -21.244928    55.716370   -0.458
2014-06-15 01:11:56.251  -21.244879    55.714937   -0.275
2014-06-15 01:26:50.907  -21.244861    55.711759   -0.116
2014-06-15 01:30:03.743  -21.244653    55.714974   -0.356
2014-06-15 01:31:27.779  -21.245005    55.712891   -0.178
2014-06-15 01:35:56.048  -21.245144    55.714148   -0.199
2014-06-15 01:44:49.135  -21.240977    55.713375   -0.257
2014-06-15 01:45:45.506  -21.245028    55.714775   -0.419
2014-06-15 01:52:38.153  -21.241947    55.716768   -0.467
2014-06-15 02:06:49.036  -21.240383    55.712939   -0.541
2014-06-15 02:20:52.949  -21.241740    55.713066   -0.429
2014-06-15 02:24:10.223  -21.245520    55.717989   -0.028
2014-06-15 02:28:08.328  -21.244790    55.714905   -0.353
2014-06-15 02:59:58.419  -21.244800    55.711609   -0.131
2014-06-15 03:08:18.695  -21.244702    55.709867   -0.259
2014-06-15 03:09:54.259  -21.245056    55.711739   -0.119
2014-06-15 03:28:00.443  -21.244861    55.713611   -0.202
2014-06-15 03:33:16.931  -21.245097    55.715922   -0.429
2014-06-15 03:33:23.178  -21.243764    55.712000   -0.426
2014-06-15 03:47:24.728  -21.244979    55.714600   -0.252
2014-06-15 03:49:22.321  -21.245058    55.714750   -0.350
2014-06-15 03:54:23.753  -21.242784    55.711853   -0.403
2014-06-15 03:59:23.780  -21.245294    55.716016   -0.367
2014-06-15 03:59:24.848  -21.245150    55.715877   -0.391
2014-06-15 03:59:39.903  -21.245162    55.716060   -0.412
2014-06-15 04:01:28.601  -21.245176    55.716077   -0.451
2014-06-15 04:07:28.270  -21.245156    55.716056   -0.370
2014-06-15 04:18:16.405  -21.245042    55.715926   -0.489
2014-06-15 04:41:44.349  -21.245353    55.711780   -0.100
2014-06-15 04:47:28.009  -21.245142    55.711418   -0.133
2014-06-15 05:06:34.380  -21.245540    55.713269   -0.034
2014-06-15 05:29:27.150  -21.242800    55.711446   -0.363
2014-06-15 05:34:19.615  -21.240377    55.712504   -0.302
2014-06-15 05:43:36.782  -21.245152    55.713118   -0.262
2014-06-15 05:45:15.866  -21.245384    55.711491    0.033
2014-06-15 05:54:13.635  -21.244926    55.716817   -0.310
2014-06-15 06:04:48.123  -21.245154    55.716056   -0.378
2014-06-15 06:06:16.480  -21.244920    55.716703   -0.337
2014-06-15 06:35:07.920  -21.245376    55.712899   -0.181
2014-06-15 07:07:00.368  -21.244995    55.715011   -0.377
2014-06-15 07:23:59.715  -21.241691    55.711389   -0.182
2014-06-15 07:40:24.998  -21.245223    55.716081   -0.219
2014-06-15 08:17:20.733  -21.242521    55.710555   -0.397
2014-06-15 08:18:16.732  -21.243711    55.716984   -0.355
2014-06-15 08:38:51.382  -21.244484    55.716947   -0.357
2014-06-15 08:42:52.270  -21.245673    55.714250   -0.211
2014-06-15 08:52:18.452  -21.239958    55.713965   -0.458
2014-06-15 09:05:06.530  -21.241866    55.716447   -0.563
2014-06-15 09:08:13.593  -21.241429    55.714465   -0.404
2014-06-15 09:11:13.218  -21.241390    55.714465   -0.382
2014-06-15 09:13:35.779  -21.241838    55.716313   -0.565
2014-06-15 09:14:05.804  -21.241309    55.714343   -0.379
2014-06-15 09:14:19.131  -21.241892    55.716451   -0.560
2014-06-15 09:16:56.356  -21.241317    55.714400   -0.450
2014-06-15 09:24:04.298  -21.243223    55.709550   -0.036
2014-06-15 09:29:13.996  -21.245046    55.716081   -0.507
2014-06-15 09:31:00.133  -21.245022    55.716309   -0.469
2014-06-15 09:33:32.460  -21.241382    55.714616   -0.281
2014-06-15 09:34:00.375  -21.239553    55.713973   -0.376
