# Catalog from Lengline et al. (GRL, 2016, doi: 10.1002/2016GL068383)
# Origin time             Lat(deg)     Lon(deg)    Dep(km)
2015-04-16 00:33:47.560  -21.245194    55.705900    8.257
2015-04-16 00:39:37.890  -21.242702    55.708980    8.764
2015-04-16 00:54:00.940  -21.243829    55.705627    8.166
2015-04-16 15:07:21.590  -21.244086    55.705196    8.263
2015-04-16 15:29:17.640  -21.244181    55.704976    8.094
2015-04-16 15:29:17.710  -21.243933    55.705318    8.337
2015-04-16 15:32:48.400  -21.243854    55.705326    8.298
2015-04-16 16:05:39.560  -21.244122    55.705534    8.210
2015-04-16 16:12:05.220  -21.243693    55.705310    8.388
2015-04-16 16:20:09.080  -21.241156    55.707332    8.640
2015-04-16 16:35:28.290  -21.243514    55.705920    8.602
2015-04-16 16:55:51.290  -21.243457    55.705953    8.602
2015-04-16 17:20:18.680  -21.243846    55.704993    8.237
2015-04-16 17:20:18.680  -21.243913    55.705005    8.249
2015-04-16 18:20:24.280  -21.242731    55.705021    8.837
2015-04-16 20:19:17.820  -21.243559    55.704293    8.414
2015-04-16 20:28:33.040  -21.243494    55.704159    8.454
2015-04-16 20:31:46.300  -21.242312    55.707080    9.677
2015-04-16 20:49:33.920  -21.243477    55.704508    8.358
2015-04-16 21:59:48.220  -21.240513    55.706234    8.430
2015-04-16 22:25:08.940  -21.243209    55.703975    8.117
2015-04-16 23:02:07.620  -21.243245    55.703772    8.313
2015-04-16 23:55:11.400  -21.243016    55.704403    8.693
2015-04-17 00:06:02.630  -21.244358    55.704102    8.368
2015-04-17 00:11:11.710  -21.242843    55.707520    8.749
2015-04-17 00:32:48.080  -21.242198    55.705774    8.385
2015-04-17 00:39:18.990  -21.243866    55.703422    8.197
2015-04-17 00:42:17.000  -21.242145    55.705701    8.433
2015-04-17 00:42:26.080  -21.242202    55.705802    8.382
2015-04-17 00:51:02.480  -21.242204    55.705790    8.382
2015-04-17 00:52:00.000  -21.243394    55.704907    8.512
2015-04-17 00:54:32.790  -21.242143    55.705774    8.415
2015-04-17 00:55:55.280  -21.242196    55.705778    8.378
2015-04-17 00:56:28.900  -21.243315    55.705221    8.452
2015-04-17 00:59:28.200  -21.241357    55.706812    8.786
2015-04-17 01:03:07.580  -21.242206    55.705790    8.388
2015-04-17 01:03:53.300  -21.243014    55.705835    8.638
2015-04-17 01:06:02.540  -21.243608    55.705733    8.412
2015-04-17 01:11:27.590  -21.242179    55.705774    8.388
2015-04-17 01:17:29.890  -21.242190    55.705750    8.398
2015-04-17 01:19:37.690  -21.242287    55.705794    8.382
2015-04-17 01:21:42.160  -21.243750    55.705566    8.311
2015-04-17 01:23:46.010  -21.242175    55.705863    8.430
2015-04-17 01:27:16.440  -21.243081    55.705855    8.578
2015-04-17 01:29:34.530  -21.243229    55.705737    8.509
2015-04-17 01:32:57.000  -21.242175    55.705819    8.408
2015-04-17 01:34:09.000  -21.242369    55.705831    8.380
2015-04-17 01:41:18.130  -21.243205    55.705627    8.509
2015-04-17 01:41:38.520  -21.243117    55.706030    8.501
2015-04-17 01:45:18.030  -21.242092    55.706580    8.533
2015-04-17 01:47:46.660  -21.242171    55.705815    8.413
2015-04-17 01:48:48.310  -21.242525    55.705868    8.808
2015-04-17 02:05:36.310  -21.241913    55.706197    8.768
2015-04-17 02:21:23.680  -21.243036    55.706283    8.592
2015-04-17 02:46:52.130  -21.242824    55.706812    8.865
2015-04-17 03:08:56.180  -21.243705    55.703357    8.228
2015-04-17 04:09:18.580  -21.241856    55.707263    8.722
2015-04-17 04:19:23.200  -21.243170    55.706380    8.526
2015-04-17 05:51:54.330  -21.242940    55.705929    8.535
2015-04-17 07:46:43.160  -21.243113    55.706543    8.571
2015-04-17 07:59:22.060  -21.243162    55.706632    8.582
2015-04-17 08:08:09.360  -21.243026    55.706588    8.582
2015-04-17 08:09:11.250  -21.242969    55.706519    8.572
2015-04-17 08:22:30.570  -21.243073    55.706673    8.600
2015-04-17 09:08:12.980  -21.241323    55.706144    8.829
2015-04-17 10:48:51.400  -21.243231    55.706942    8.705
2015-04-17 11:05:30.590  -21.243243    55.706860    8.693
2015-04-17 13:22:58.560  -21.243518    55.706763    9.306
2015-04-17 13:25:52.310  -21.245003    55.704443    7.648
2015-04-17 16:39:01.180  -21.242444    55.707613    8.664
2015-04-17 23:41:49.400  -21.244832    55.704740    7.748
2015-04-17 23:55:46.500  -21.242961    55.703658    8.369
2015-04-18 00:05:50.060  -21.242415    55.704146    8.569
2015-04-18 00:09:31.600  -21.244847    55.704728    7.735
2015-04-18 00:11:10.350  -21.242971    55.703800    8.415
2015-04-18 00:15:17.740  -21.243040    55.710221    9.937
